Date,Open,High,Low,Close,Adj Close,Volume
2021-05-17,1320.300049,1334.949951,1320.300049,1329.400024,1303.654175,5017129
2021-05-18,1338.000000,1344.599976,1329.500000,1340.000000,1314.048828,5620150
2021-05-19,1342.000000,1357.449951,1333.250000,1337.000000,1311.106934,4435878
2021-05-20,1348.400024,1349.099976,1335.000000,1339.300049,1313.362427,4490092
2021-05-21,1347.500000,1357.500000,1346.349976,1354.500000,1328.268066,4969733
2021-05-24,1356.650024,1363.000000,1345.099976,1348.050049,1321.942993,4225371
2021-05-25,1358.000000,1368.000000,1354.449951,1361.599976,1335.230469,4099340
2021-05-26,1367.900024,1400.000000,1362.050049,1397.250000,1370.190063,6850024
2021-05-27,1404.199951,1416.250000,1391.699951,1402.250000,1375.093262,15365391
2021-05-28,1409.750000,1414.000000,1396.099976,1405.050049,1377.839111,4261312
2021-05-31,1401.500000,1401.500000,1383.000000,1393.750000,1381.506592,4429904
2021-06-01,1400.000000,1401.000000,1378.650024,1387.199951,1375.014038,4791325
2021-06-02,1380.750000,1391.949951,1365.000000,1378.650024,1366.539185,9272276
2021-06-03,1388.099976,1399.000000,1377.050049,1389.650024,1377.442627,5115645
2021-06-04,1393.949951,1396.900024,1377.650024,1385.650024,1373.477783,4194328
2021-06-07,1391.000000,1392.000000,1377.300049,1389.650024,1377.442627,5154576
2021-06-08,1396.000000,1421.750000,1395.550049,1412.949951,1400.537842,7360630
2021-06-09,1413.400024,1425.000000,1404.599976,1415.300049,1402.867310,5394317
2021-06-10,1424.000000,1429.000000,1419.000000,1424.300049,1411.788208,3496575
2021-06-11,1430.099976,1451.599976,1429.449951,1446.900024,1434.189697,6140828
2021-06-14,1471.000000,1477.000000,1453.449951,1461.800049,1448.958862,7132294
2021-06-15,1464.000000,1476.000000,1463.000000,1473.900024,1460.952515,5403104
2021-06-16,1472.699951,1489.449951,1467.500000,1480.599976,1467.593628,7661710
2021-06-17,1475.099976,1502.650024,1475.099976,1495.300049,1482.164551,7677951
2021-06-18,1509.000000,1515.800049,1487.400024,1503.300049,1490.094238,13533974
2021-06-21,1493.000000,1505.800049,1484.199951,1500.300049,1487.120605,5454052
2021-06-22,1509.699951,1521.449951,1502.099976,1511.849976,1498.569092,6427862
2021-06-23,1525.000000,1525.000000,1498.650024,1503.150024,1489.945557,5529809
2021-06-24,1517.000000,1568.750000,1511.199951,1559.199951,1545.503052,10785137
2021-06-25,1572.000000,1578.000000,1543.000000,1574.199951,1560.371338,9780240
2021-06-28,1572.900024,1580.150024,1560.599976,1571.800049,1557.992554,5019178
2021-06-29,1561.000000,1573.650024,1559.199951,1563.050049,1549.319336,5913567
2021-06-30,1572.050049,1591.000000,1572.050049,1580.800049,1566.913452,6058722
2021-07-01,1576.849976,1576.849976,1559.050049,1560.400024,1546.692627,4814317
2021-07-02,1558.949951,1569.449951,1542.599976,1567.800049,1554.027710,5166064
2021-07-05,1569.150024,1585.000000,1561.050049,1578.949951,1565.079590,4058338
2021-07-06,1573.699951,1586.750000,1557.099976,1562.199951,1548.476807,4089574
2021-07-07,1566.050049,1570.550049,1544.650024,1564.599976,1550.855713,4797120
2021-07-08,1568.000000,1576.000000,1549.000000,1560.750000,1547.039551,3326813
2021-07-09,1556.000000,1569.900024,1551.000000,1562.900024,1549.170654,3436594
2021-07-12,1570.550049,1578.000000,1533.750000,1547.849976,1534.252808,4588982
2021-07-13,1556.400024,1556.400024,1536.300049,1544.949951,1531.378296,4456160
2021-07-14,1554.000000,1582.800049,1538.099976,1576.900024,1563.047729,5657716
2021-07-15,1557.900024,1596.849976,1556.000000,1580.800049,1566.913452,10021355
2021-07-16,1573.750000,1574.650024,1549.599976,1555.449951,1541.786011,6265593
2021-07-19,1544.699951,1552.900024,1537.550049,1541.699951,1528.156860,5669162
2021-07-20,1538.300049,1557.699951,1538.000000,1550.050049,1536.433594,5069939
2021-07-22,1561.400024,1592.849976,1561.400024,1590.199951,1576.230835,7854575
2021-07-23,1588.550049,1598.500000,1585.050049,1590.449951,1576.478638,4179719
2021-07-26,1594.099976,1611.650024,1594.099976,1603.900024,1589.810547,4586710
2021-07-27,1605.000000,1609.300049,1597.900024,1602.550049,1588.472412,5892859
2021-07-28,1605.099976,1607.599976,1585.500000,1605.599976,1591.495483,4686788
2021-07-29,1600.099976,1620.000000,1600.099976,1617.000000,1602.795410,4660873
2021-07-30,1610.000000,1623.400024,1606.150024,1610.500000,1596.352539,6234257
2021-08-02,1627.449951,1634.750000,1619.199951,1631.550049,1617.217651,5553389
2021-08-03,1647.000000,1658.650024,1635.599976,1655.199951,1640.659790,5513668
2021-08-04,1669.099976,1679.900024,1639.050049,1649.250000,1634.762085,6740391
2021-08-05,1649.500000,1666.000000,1647.050049,1653.550049,1639.024414,5420536
2021-08-06,1657.000000,1660.650024,1644.000000,1650.199951,1635.703735,3754855
2021-08-09,1661.000000,1667.449951,1646.400024,1663.300049,1648.688721,5018477
2021-08-10,1668.000000,1680.000000,1661.050049,1677.250000,1662.516113,6846517
2021-08-11,1674.800049,1684.000000,1668.000000,1677.550049,1662.813599,4899639
2021-08-12,1679.150024,1696.500000,1674.000000,1689.599976,1674.757690,5659579
2021-08-13,1697.000000,1722.500000,1691.300049,1712.199951,1697.159058,5612790
2021-08-16,1707.699951,1719.949951,1690.099976,1704.400024,1689.427612,4564109
2021-08-17,1703.900024,1748.900024,1686.550049,1741.650024,1726.350464,9510390
2021-08-18,1729.000000,1755.500000,1727.000000,1733.449951,1718.222412,6686090
2021-08-20,1716.099976,1745.000000,1716.099976,1732.949951,1717.726807,6206972
2021-08-23,1735.750000,1753.150024,1732.000000,1738.750000,1723.475952,6189051
2021-08-24,1750.000000,1757.000000,1712.699951,1720.849976,1705.733154,7602939
2021-08-25,1718.000000,1746.900024,1718.000000,1735.550049,1720.304077,6153253
2021-08-26,1734.000000,1746.000000,1720.000000,1727.699951,1712.522949,5302248
2021-08-27,1725.000000,1727.699951,1705.199951,1708.800049,1693.789063,6698514
2021-08-30,1703.050049,1718.650024,1690.400024,1698.050049,1683.133423,6559667
2021-08-31,1700.150024,1715.000000,1685.849976,1706.449951,1691.459595,12255438
2021-09-01,1709.500000,1709.500000,1673.150024,1677.750000,1663.011719,7801974
2021-09-02,1677.349976,1694.300049,1662.650024,1689.099976,1674.261963,6830050
2021-09-03,1696.050049,1705.949951,1684.400024,1700.650024,1685.710571,5339139
2021-09-06,1705.150024,1732.000000,1699.349976,1730.400024,1715.199219,4876026
2021-09-07,1730.000000,1734.900024,1704.000000,1706.650024,1691.657959,3520341
2021-09-08,1700.849976,1700.849976,1682.949951,1693.250000,1678.375610,4584896
2021-09-09,1685.900024,1694.900024,1682.150024,1691.599976,1676.740112,3331674
2021-09-13,1683.000000,1701.500000,1675.199951,1691.900024,1677.037476,4662374
2021-09-14,1695.949951,1695.949951,1678.599976,1686.150024,1671.338013,4945167
2021-09-15,1693.250000,1715.099976,1690.199951,1711.449951,1696.415649,4062344
2021-09-16,1715.199951,1719.250000,1691.449951,1702.250000,1687.296509,3246568
2021-09-17,1697.000000,1718.000000,1684.449951,1691.300049,1676.442749,7454864
2021-09-20,1685.000000,1707.699951,1677.949951,1687.849976,1673.022949,5660743
2021-09-21,1700.000000,1726.750000,1684.650024,1718.449951,1703.354126,4672222
2021-09-22,1717.000000,1738.900024,1713.050049,1716.900024,1701.817871,4553892
2021-09-23,1732.000000,1745.000000,1721.099976,1742.550049,1727.242554,3826090
2021-09-24,1758.000000,1788.000000,1752.449951,1763.849976,1748.355347,8280446
2021-09-27,1768.750000,1769.000000,1718.099976,1721.150024,1706.030518,5045337
2021-09-28,1710.000000,1710.000000,1675.000000,1687.099976,1672.279541,6557197
2021-09-29,1659.250000,1701.400024,1655.000000,1692.250000,1677.384399,7792548
2021-09-30,1703.000000,1703.000000,1670.099976,1675.199951,1660.484131,6914031
2021-10-01,1665.099976,1678.949951,1661.250000,1665.150024,1650.522461,5733906
2021-10-04,1672.500000,1688.000000,1665.400024,1678.750000,1664.002930,2947154
2021-10-05,1671.000000,1702.949951,1663.000000,1692.800049,1677.929565,4373310
2021-10-06,1702.099976,1709.000000,1670.000000,1673.550049,1658.848755,4271698
2021-10-07,1687.000000,1704.199951,1676.650024,1691.000000,1676.145386,5476108
2021-10-08,1705.250000,1731.500000,1698.400024,1723.849976,1708.706787,4738376
2021-10-11,1682.000000,1730.000000,1663.699951,1690.949951,1676.095703,8840633
2021-10-12,1677.000000,1689.000000,1662.000000,1685.150024,1670.346802,7439300
2021-10-13,1695.949951,1713.650024,1680.050049,1709.199951,1694.185425,7104171
2021-10-14,1754.000000,1783.599976,1698.199951,1715.750000,1700.677979,19655776
2021-10-18,1740.000000,1799.000000,1740.000000,1792.150024,1776.406860,13438109
2021-10-19,1814.000000,1834.500000,1782.300049,1822.150024,1806.143311,10324260
2021-10-20,1829.400024,1848.000000,1794.050049,1802.349976,1786.517212,5876115
2021-10-21,1814.000000,1814.000000,1746.849976,1753.650024,1738.244995,8779629
2021-10-22,1749.900024,1763.199951,1707.000000,1719.800049,1704.692383,7369809
2021-10-25,1722.050049,1729.750000,1687.199951,1707.550049,1692.550049,5905209
2021-10-26,1710.050049,1726.599976,1695.900024,1703.699951,1703.699951,5871709
2021-10-27,1709.099976,1734.150024,1701.150024,1728.949951,1728.949951,5090259
2021-10-28,1719.349976,1724.750000,1692.050049,1703.900024,1703.900024,5329972
2021-10-29,1699.000000,1712.599976,1661.050049,1667.750000,1667.750000,5875091
2021-11-01,1677.500000,1707.199951,1676.000000,1700.050049,1700.050049,3636806
2021-11-02,1695.000000,1706.449951,1686.349976,1697.900024,1697.900024,3471772
2021-11-03,1709.000000,1717.449951,1699.000000,1702.500000,1702.500000,3530713
2021-11-04,1715.000000,1717.000000,1705.000000,1708.699951,1708.699951,483407
2021-11-08,1730.000000,1741.000000,1703.000000,1737.500000,1737.500000,5245903
2021-11-09,1734.750000,1750.000000,1726.000000,1742.500000,1742.500000,4016134
2021-11-10,1726.000000,1750.949951,1721.949951,1740.150024,1740.150024,4780368
2021-11-11,1732.949951,1739.750000,1709.000000,1733.300049,1733.300049,4731349
2021-11-12,1743.000000,1782.849976,1738.050049,1780.199951,1780.199951,5069009
2021-11-15,1782.099976,1800.000000,1775.500000,1787.150024,1787.150024,4354074
2021-11-16,1790.000000,1808.949951,1777.000000,1792.300049,1792.300049,6034233
2021-11-17,1792.550049,1802.000000,1780.699951,1787.449951,1787.449951,4732492
2021-11-18,1781.599976,1789.449951,1759.000000,1779.400024,1779.400024,4326924
2021-11-22,1784.000000,1785.400024,1751.150024,1759.400024,1759.400024,6621839
2021-11-23,1735.099976,1747.250000,1710.000000,1736.900024,1736.900024,8436160
2021-11-24,1740.000000,1740.500000,1688.000000,1696.000000,1696.000000,7333061
2021-11-25,1700.000000,1726.199951,1696.949951,1722.400024,1722.400024,4476260
2021-11-26,1702.550049,1718.349976,1684.000000,1691.650024,1691.650024,4494181
2021-11-29,1691.000000,1712.000000,1669.150024,1696.349976,1696.349976,3942776
2021-11-30,1704.550049,1729.900024,1700.050049,1712.650024,1712.650024,14808963
2021-12-01,1715.000000,1741.900024,1713.000000,1714.900024,1714.900024,5193264
2021-12-02,1715.000000,1750.500000,1711.349976,1748.250000,1748.250000,5559574
2021-12-03,1771.099976,1786.650024,1732.550049,1735.550049,1735.550049,6754012
2021-12-06,1730.000000,1733.949951,1691.500000,1695.300049,1695.300049,3991449
2021-12-07,1701.099976,1724.900024,1694.000000,1711.650024,1711.650024,4202122
2021-12-08,1733.000000,1759.800049,1732.599976,1753.349976,1753.349976,3029169
2021-12-09,1759.000000,1769.400024,1742.000000,1763.449951,1763.449951,2082171
2021-12-10,1760.000000,1763.750000,1746.000000,1759.250000,1759.250000,1823469
2021-12-13,1767.050049,1771.349976,1738.800049,1744.650024,1744.650024,4040584
2021-12-14,1730.900024,1763.000000,1710.349976,1752.150024,1752.150024,4768144
2021-12-15,1745.000000,1747.949951,1721.199951,1734.199951,1734.199951,3053149
2021-12-16,1762.650024,1777.599976,1758.000000,1771.599976,1771.599976,4481031
2021-12-17,1820.000000,1842.000000,1806.750000,1820.849976,1820.849976,18887243
